     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
3703703703704,        10,         0,       0,estimated,anon35,"{""c"":""2020 Litinski"",""lbl"":""T15\u2081\u2081,\u2085,\u2085\u00d7T15\u2082\u2085,\u2081\u2081,\u2081\u2081"",""noise"":""uniform"",""p"":0.001,""q"":30700,""r"":82.5,""state"":""T""}",
303030303030303,        10,         0,       0,estimated,anon36,"{""c"":""2020 Litinski"",""lbl"":""T15\u2081\u2083,\u2085,\u2085\u00d7T15\u2082\u2089,\u2081\u2081,\u2081\u2083"",""noise"":""uniform"",""p"":0.001,""q"":39100,""r"":97.5,""state"":""T""}",
222222222222222229504,        10,         0,       0,estimated,anon37,"{""c"":""2020 Litinski"",""lbl"":""T15\u2081\u2087,\u2087,\u2087\u00d7T15\u2084\u2081,\u2081\u2087,\u2081\u2087"",""noise"":""uniform"",""p"":0.001,""q"":73400,""r"":128.0,""state"":""T""}",
6666666667,        10,         0,       0,estimated,anon38,"{""c"":""2020 Litinski"",""lbl"":""T15\u2089,\u2083,\u2083"",""noise"":""uniform"",""p"":0.0001,""q"":762,""r"":36.2,""state"":""T""}",
16393442623,        10,         0,       0,estimated,anon39,"{""c"":""2020 Litinski"",""lbl"":""T15\u2089,\u2085,\u2085\u00d7T15\u2082\u2081,\u2089,\u2081\u2081"",""noise"":""uniform"",""p"":0.001,""q"":7780,""r"":469.0,""state"":""T""}",
138888888888889,        10,         0,       0,estimated,anon40,"{""c"":""2020 Litinski"",""lbl"":""T15\u2087,\u2083,\u2083\u00d7CCZ8\u2081\u2085,\u2087,\u2089"",""noise"":""uniform"",""p"":0.0001,""q"":12400,""r"":36.1,""state"":""CCZ""}",
192307692308,        10,         0,       0,estimated,anon41,"{""c"":""2020 Litinski"",""lbl"":""T15\u2081\u2083,\u2087,\u2087\u00d7CCZ8\u2082\u2085,\u2081\u2085,\u2081\u2085"",""noise"":""uniform"",""p"":0.001,""q"":47000,""r"":60.0,""state"":""CCZ""}",
285714285714,        10,         0,       0,estimated,anon42,"{""c"":""2019 Litinski"",""lbl"":""T15"",""noise"":""uniform"",""p"":0.0001,""q"":3720,""r"":143.0,""state"":""T""}",
158730158730,        10,         0,       0,estimated,anon43,"{""c"":""2018 Gidney et al"",""lbl"":""T15\u00d7CCZ8"",""noise"":""uniform"",""p"":0.001,""q"":126400,""r"":171.0,""state"":""CCZ""}",
317460317460,        10,         0,       0,estimated,anon44,"{""c"":""2018 Gidney et al"",""lbl"":""T15\u21922T"",""noise"":""uniform"",""p"":0.001,""q"":126400,""r"":101.0,""state"":""T""}",
1000000000000000,        10,         0,       0,estimated,anon45,"{""c"":""2018 Fowler et al"",""lbl"":""T15\u00d7T15"",""noise"":""uniform"",""p"":0.001,""q"":177000,""r"":202.0,""state"":""T""}",
 285714286,        10,         0,       0,estimated,anon46,"{""c"":""2018 Fowler et al"",""lbl"":""T15"",""noise"":""uniform"",""p"":0.001,""q"":14400,""r"":120.0,""state"":""T""}",
3333333333333334,        10,         0,       0,estimated,anon47,"{""c"":""2012 Fowler et al"",""lbl"":""T15\u00d7T15"",""noise"":""uniform"",""p"":0.001,""q"":800000,""r"":250.0,""state"":""T""}",
    100000,        10,         0,       0,estimated,anon48,"{""c"":""2024 Itogawa et al"",""lbl"":""T15"",""noise"":""uniform"",""p"":0.001,""q"":25,""r"":4.0,""state"":""T[d=3]""}",
1000000000,        10,         0,       0,estimated,anon49,"{""c"":""2024 Hirano et al"",""lbl"":""T15"",""noise"":""uniform"",""p"":0.001,""q"":300000.0,""r"":1.0,""state"":""T""}",
100000000000,        10,         0,       0,estimated,anon50,"{""c"":""2024 Hirano et al"",""lbl"":""T15"",""noise"":""uniform"",""p"":0.001,""q"":600000.0,""r"":1.0,""state"":""T""}",
500000000000,        10,         0,       0,estimated,anon51,"{""c"":""2024 Hirano et al"",""lbl"":""T15"",""noise"":""uniform"",""p"":0.001,""q"":2000000.0,""r"":1.0,""state"":""T""}",
    176820,      1043,         0,       0,internal_correlated,ref52,"{""c"":""Preparing S|+\u27e9, for comparison"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":19,""r"":2,""state"":""Y""}",
    795024,      1002,         0,       0,internal_correlated,ref53,"{""c"":""Preparing S|+\u27e9, for comparison"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":53,""r"":3,""state"":""Y""}",
   4576092,      1004,         0,       0,internal_correlated,ref54,"{""c"":""Preparing S|+\u27e9, for comparison"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":103,""r"":4,""state"":""Y""}",
  28490252,      1005,         0,       0,internal_correlated,ref55,"{""c"":""Preparing S|+\u27e9, for comparison"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":169,""r"":5,""state"":""Y""}",
 191186402,      1045,         0,       0,internal_correlated,ref56,"{""c"":""Preparing S|+\u27e9, for comparison"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":251,""r"":6,""state"":""Y""}",
1378896852,      1008,         0,       0,internal_correlated,ref57,"{""c"":""Preparing S|+\u27e9, for comparison"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":349,""r"":7,""state"":""Y""}",
2000000000,       230,         0,       0,internal_correlated,ref58,"{""c"":""Preparing S|+\u27e9, for comparison"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":463,""r"":8,""state"":""Y""}",
2000000000,        28,         0,       0,internal_correlated,ref59,"{""c"":""Preparing S|+\u27e9, for comparison"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":593,""r"":9,""state"":""Y""}",
 472937245,         1,         0,       0,projected,ref61,"{""c"":""Preparing S|+\u27e9, for comparison"",""noise"":""SI1000"",""p"":0.001,""projected"":1,""q"":740,""r"":10,""state"":""Y""}",
2955857781,         1,         0,       0,projected,ref62,"{""c"":""Preparing S|+\u27e9, for comparison"",""noise"":""SI1000"",""p"":0.001,""projected"":1,""q"":902,""r"":11,""state"":""Y""}",
18474111130,         1,         0,       0,projected,ref63,"{""c"":""Preparing S|+\u27e9, for comparison"",""noise"":""SI1000"",""p"":0.001,""projected"":1,""q"":1080,""r"":12,""state"":""Y""}",
115463194561,         1,         0,       0,projected,ref64,"{""c"":""Preparing S|+\u27e9, for comparison"",""noise"":""SI1000"",""p"":0.001,""projected"":1,""q"":1274,""r"":13,""state"":""Y""}",
721644966006,         1,         0,       0,projected,ref65,"{""c"":""Preparing S|+\u27e9, for comparison"",""noise"":""SI1000"",""p"":0.001,""projected"":1,""q"":1484,""r"":14,""state"":""Y""}",
