     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
   6143880,       100,    329926,       0,estimated,anon0,"{""c"":""2024 Lee et al"",""noise"":""uniform"",""p"":0.001,""q"":2149,""r"":64.0,""state"":""T"",""v"":145000.0}",
  90783315,       100,   2287740,       0,estimated,anon1,"{""c"":""2024 Lee et al"",""noise"":""uniform"",""p"":0.001,""q"":3701,""r"":80.0,""state"":""T"",""v"":303750.0}",
 801997937,       100,  14596362,       0,estimated,anon2,"{""c"":""2024 Lee et al"",""noise"":""uniform"",""p"":0.001,""q"":5909,""r"":96.0,""state"":""T"",""v"":577500.0}",
2836121524,       100,  42825435,       0,estimated,anon3,"{""c"":""2024 Lee et al"",""noise"":""uniform"",""p"":0.001,""q"":13100,""r"":192.0,""state"":""T"",""v"":2550000.0}",
8756862644,       100,  61210470,       0,estimated,anon4,"{""c"":""2024 Lee et al"",""noise"":""uniform"",""p"":0.001,""q"":30600,""r"":28500.0,""state"":""T"",""v"":878750000.0}",
96560365292,       100, 406519138,       0,estimated,anon5,"{""c"":""2024 Lee et al"",""noise"":""uniform"",""p"":0.001,""q"":39900,""r"":28625.0,""state"":""T"",""v"":1147500000.0}",
550877321714,       100,1426772263,       0,estimated,anon6,"{""c"":""2024 Lee et al"",""noise"":""uniform"",""p"":0.001,""q"":70600,""r"":28250.0,""state"":""T"",""v"":2000000000.0}",
     40165,      1019,      3261,       0,estimated,anon7,"{""c"":""2023 Gidney"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":7,""r"":2,""state"":""T""}",
    338515,      1054,     66617,       0,estimated,anon8,"{""c"":""2023 Gidney"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":17,""r"":2,""state"":""T""}",
    950213,      1120,    317828,       0,estimated,anon9,"{""c"":""2023 Gidney"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":31,""r"":2,""state"":""T""}",
   2160000,      1006,   1037590,       0,estimated,anon10,"{""c"":""2023 Gidney"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":49,""r"":2,""state"":""T""}",
   4216995,      1049,   2596823,       0,estimated,anon11,"{""c"":""2023 Gidney"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":71,""r"":2,""state"":""T""}",
  11146721,      1013,   8656981,       0,estimated,anon12,"{""c"":""2023 Gidney"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":71,""r"":3,""state"":""T""}",
   7794747,      1176,   5704279,       0,estimated,anon13,"{""c"":""2023 Gidney"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":97,""r"":2,""state"":""T""}",
  23410313,      1019,  20430657,       0,estimated,anon14,"{""c"":""2023 Gidney"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":97,""r"":3,""state"":""T""}",
